col,VAR
792,LMT_CLS_091
793,LMT_CLS_094
794,LMT_CLS_93B
795,LMT_CLS_93C
796,LMT_CLS_A12
797,LMT_CLS_CA1
798,LMT_CLS_CA2
799,LMT_CLS_CA3
800,LMT_CLS_D01
801,LMT_CLS_D02
802,LMT_CLS_D17
803,LMT_CLS_D51
804,LMT_CLS_D52
805,LMT_CLS_D53
806,LMT_CLS_G14
807,LMT_CLS_G17
808,LMT_CLS_G19
809,LMT_CLS_M01
810,LMT_CLS_M17
811,LMT_CLS_S03
812,LMT_CLS_S04
813,LMT_CLS_S05
814,LMT_CLS_U00
815,LMT_CLS_U01
816,LMT_CLS_U02
817,LMT_CLS_U03
818,LMT_CLS_U04
819,LMT_CLS_V19
820,MBU_rollup_Individual - CA
821,MBU_rollup_LOCAL - CA
822,MBU_rollup_LOCAL - GA
823,MBU_rollup_National - WEST
824,MBU_rollup_Small Group - GA
825,state_lob_CA
826,state_lob_GA
827,state_lob_WEST
828,PROV_SPCLTY_CD_090
829,PROV_SPCLTY_CD_091
830,PROV_SPCLTY_CD_094
831,PROV_SPCLTY_CD_100
832,PROV_SPCLTY_CD_111
833,PROV_SPCLTY_CD_125
834,PROV_SPCLTY_CD_128
835,PROV_SPCLTY_CD_175
836,PROV_SPCLTY_CD_200
837,PROV_SPCLTY_CD_225
838,PROV_SPCLTY_CD_235
839,PROV_SPCLTY_CD_255
840,PROV_SPCLTY_CD_273
841,PROV_SPCLTY_CD_275
842,PROV_SPCLTY_CD_276
843,PROV_SPCLTY_CD_277
844,PROV_SPCLTY_CD_278
845,PROV_SPCLTY_CD_279
846,PROV_SPCLTY_CD_281
847,PROV_SPCLTY_CD_282
848,PROV_SPCLTY_CD_283
849,PROV_SPCLTY_CD_284
850,PROV_SPCLTY_CD_285
851,PROV_SPCLTY_CD_287
852,PROV_SPCLTY_CD_292
853,PROV_SPCLTY_CD_300
854,PROV_SPCLTY_CD_322
855,PROV_SPCLTY_CD_325
856,PROV_SPCLTY_CD_375
857,PROV_SPCLTY_CD_377
858,PROV_SPCLTY_CD_400
859,PROV_SPCLTY_CD_425
860,PROV_SPCLTY_CD_450
861,PROV_SPCLTY_CD_475
862,PROV_SPCLTY_CD_500
863,PROV_SPCLTY_CD_501
864,PROV_SPCLTY_CD_503
