FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
J2ZZ153XOFY,Unicare - Unicare,Unicare
J2ZZ153XPB01N,Unicare - Unicare,Unicare
J2ZZ153XPB03N,Unicare - Unicare,Unicare
J2ZZ153XPB04M,Unicare - Unicare,Unicare
J2ZZ153XPR,Unicare - Unicare,Unicare
J2ZZ153XPRN,Unicare - Unicare,Unicare
J2ZZ153XPRY,Unicare - Unicare,Unicare
J2ZZ15FX,Unicare - Unicare,Unicare
J2ZZ15FXOF,Unicare - Unicare,Unicare
J2ZZ15FXOF02M,Unicare - Unicare,Unicare
J2ZZ15FXOF03M,Unicare - Unicare,Unicare
J2ZZ15FXOF04M,Unicare - Unicare,Unicare
J2ZZ15FXOFN,Unicare - Unicare,Unicare
J2ZZ15FXOFY,Unicare - Unicare,Unicare
J2ZZ15FXPB01N,Unicare - Unicare,Unicare
J2ZZ15FXPB03N,Unicare - Unicare,Unicare
J2ZZ15FXPB04M,Unicare - Unicare,Unicare
J2ZZ173XOF04M,Unicare - Unicare,Unicare
J2ZZ173XPB05M,Unicare - Unicare,Unicare
J2ZZ173XPR01M,Unicare - Unicare,Unicare
J2ZZ173XPR02S,Unicare - Unicare,Unicare
J2ZZ173XPR02Y,Unicare - Unicare,Unicare
J2ZZ1A1X,Unicare - Unicare,Unicare
J2ZZ1A1XOF,Unicare - Unicare,Unicare
J2ZZ1A1XOF02N,Unicare - Unicare,Unicare
J2ZZ1A1XOF02S,Unicare - Unicare,Unicare
J2ZZ1A1XOF02Y,Unicare - Unicare,Unicare
J2ZZ1A1XOF03S,Unicare - Unicare,Unicare
J2ZZ1A1XOF03Y,Unicare - Unicare,Unicare
J2ZZ1A1XOFN,Unicare - Unicare,Unicare
J2ZZ1A1XOFY,Unicare - Unicare,Unicare
J2ZZ1A1XPB01S,Unicare - Unicare,Unicare
J2ZZ1A1XPB01Y,Unicare - Unicare,Unicare
J2ZZ1A1XPB02S,Unicare - Unicare,Unicare
J2ZZ1A1XPB02Y,Unicare - Unicare,Unicare
J2ZZ1LJXPBN,Specialty - Unicare,Unicare
J2ZZ1LJXPBY,Specialty - Unicare,Unicare
J2ZZ1LSXPBN,Specialty - Unicare,Unicare
J2ZZ1LSXPBY,Specialty - Unicare,Unicare
J2ZZ1LYXPBN,Specialty - Unicare,Unicare
J2ZZ1LYXPBY,Specialty - Unicare,Unicare
J2ZZ1N1XOF02N,Unicare - Unicare,Unicare
