KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,DTL_LINE_NBR,Result,Model_Score
19114CY3397,ST,04,0262496354,0.41281906
19114CY3397,ST,05,0262496354,0.41281906
19114CY3397,ST,06,0262496354,0.41281906
19114CY3397,ST,07,0262496354,0.41281906
19114LM0436,1#,01,0263506684,0.029692106
19115BI1923,ST,01,4021803,0.011042585
19115BI1923,ST,02,4021803,0.09281819
19115BI1923,ST,03,4021803,0.014502012
19115BM3489,ST,01,4217911,0.6890263
19115BM3489,ST,02,4217911,0.6698632
19115CH7816,1#,01,0260574294,0.028914724
19115CH7816,1#,02,4451484,0.022708628
19115CH7816,1#,03,4275455,0.02230397
19115CQ7150,ST,01,4309711,0.4421041
19115CQ7150,ST,02,4309711,0.06740019
19115CQ7150,ST,03,4309711,0.06188382
19115CQ7150,ST,04,0262184463,0.28361246
19115CQ7150,ST,05,0262184463,0.39092848
19115CQ7150,ST,06,4309711,0.43475273
19115CQ7150,ST,07,4309711,0.092618965
19115CQ7150,ST,08,4309711,0.092618965
19115CQ7150,ST,09,4309711,0.092618965
19115CQ7150,ST,10,4309711,0.092618965
19115CQ7150,ST,11,4309711,0.092618965
19115CQ7150,ST,12,0262184463,0.30707654
19115CQ7150,ST,13,0262184463,0.30707654
19115CQ7150,ST,14,0262184463,0.30707654
19115CQ7150,ST,15,4309711,0.21425724
19115CQ7150,ST,16,0262184463,0.30707654
19115CS9736,ST,01,4251609,0.7832373
19115CV9885,ST,01,4351799,0.10778524
19115CX3572,1#,01,4209452,0.56056404
19115CX3572,1#,02,4209452,0.54197353
19115CX3572,1#,03,4209452,0.54197353
19115CX3572,1#,04,4209452,0.54197353
19115MG3776,1#,01,0263406443,0.47572926
19115MG3776,1#,02,0263406443,0.47572926
19115MG3776,1#,03,0263406443,0.47572926
19115MG3776,1#,04,0263406443,0.47572926
19116BC4572,1#,01,3727729,0.8451803
19116CN6175,1#,01,0263241484,0.49427104
19116CN6175,1#,02,0263241484,0.49427104
19116CQ5725,ST,01,4174433,0.48922938
19116CQ5725,ST,02,4174433,0.48310298
19116CQ5725,ST,03,4174433,0.48310298
19116CS2635,1#,01,0256066599,0.06763243
19116DA6557,ST,01,3734556,0.7002563
19116DA6557,ST,02,3734556,0.7002563
19116DA6557,ST,03,3734556,0.7002563
19116DA6557,ST,04,3734556,0.7002563
19116DA6557,ST,05,3734556,0.7002563
19116DA6557,ST,06,3734556,0.7002563
19116DA6557,ST,07,3734556,0.7002563
19116LM1446,ST,01,3426709,0.593383
19116LM1446,ST,02,3426709,0.5933307
19116LM1446,ST,03,3426709,0.5933307
19116LM1446,ST,04,0258581927,0.08285664
19116LM1446,ST,05,3426709,0.23492624
19116LM1446,ST,06,3426709,0.13061103
19116MA7362,ST,01,3817559,0.63124025
19116MA7690,ST,01,0259035442,0.033244602
19116MA7690,ST,02,0259035442,0.063740246
19116MA7690,ST,03,0259035442,0.0042813867
19116MA7690,ST,04,0259035442,0.025135275
19116MA7690,ST,05,0259035442,0.025135275
19116MA7690,ST,06,0259035442,0.033244602
19116MA7690,ST,07,0259035442,0.034437716
19116MA7690,ST,08,0259035442,0.030273488
19119483372,1#,01,0263406443,0.4024123
19119483372,1#,02,0263406443,0.4024123
19119483372,1#,03,0263406443,0.4024123
19119483388,1#,01,0263406443,0.4456596
19119483388,1#,02,0263406443,0.4456596
19119483388,1#,03,0263406443,0.4456596
19119BE1712,ST,01,0238642631,2.2392154e-05
19119BE1712,ST,02,0238642631,2.2392154e-05
19119BE1712,ST,03,0238642631,2.2392154e-05
19119BE4987,ST,01,0263317342,0.18026316
19119BE4987,ST,02,3269157,0.4534015
19119BE4987,ST,03,0263317342,0.33795097
19119BE4987,ST,04,0263317342,0.10016852
19119BE4987,ST,05,0263317342,0.10016852
19119BE4987,ST,06,0263317342,0.10016852
19119BE4987,ST,07,0263317342,0.10016852
19119BK5193,1#,01,0263111263,0.15207954
19119BK5193,1#,02,0263111263,0.07410287
19119BK5193,1#,03,0263111263,0.5037235
19119BK9926,1#,01,4314160,0.25747064
19119BK9926,1#,02,4314160,0.24577881
19119BK9926,1#,03,4314160,0.24883278
19119BK9926,1#,04,3891535,0.727166
19119BK9926,1#,05,3891535,0.6536898
19119BK9926,1#,06,3891535,0.7382728
19119BK9926,1#,07,3891535,0.7343071
19119BK9926,1#,08,3891535,0.81705433
19119BK9926,1#,09,3891535,0.81705433
19119BK9926,1#,10,3891535,0.7835291
19119BK9980,1#,01,3754119,0.13254052
19119BK9980,1#,02,3754119,0.13254052
19119BK9980,1#,03,3754119,0.5275408
19119BL0036,1#,01,3891535,0.40550703
19119BL0036,1#,02,3891535,0.37710184
19119CQ4435,1#,01,0263030671,0.63440806
19119CQ4435,1#,02,0263030671,0.53950834
19120479264,1#,01,4150100,0.30555192
19120484113,1#,01,3909350,0.23178628
19120484113,1#,02,3909350,0.23178628
19120484113,1#,03,3909350,0.23178628
19120484113,1#,04,3909350,0.006258833
19120484113,1#,05,3909350,0.006258833
19120484113,1#,06,3909350,0.006258833
19120484113,1#,07,3909350,0.6867682
19120484746,1#,01,0261828799,0.0010399786
19120495131,1#,01,3682714,0.10439303
19120BD2833,ST,01,0263576018,0.04503057
