KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,actioncode,actionscore
19144CH2842,2V,M9999,0.010088906
19144CH3896,2V,51530,0.00046763127
19144CH4365,2V,51530,0.00050728663
19144R12193,2V,M9999,0.0048094424
19144R12416,2V,M9999,0.018629694
19145BE2684,2V,M9999,0.00042414604
19145BF1570,2V,M9999,0.003966927
19147BH2506,2V,M9999,0.00022286129
19147BH3444,2V,MCJ00,0.00026172228
19147BH4101,2V,12390,0.00020996075
19147BJ4851,2V,M9999,0.00016603657
19147BJ4991,2V,51530,0.00037114634
19147BJ5455,2V,9COB0,0.0008241699
19147BJ6405,2V,12390,0.011304775
19148BN9055,2V,12390,0.00026716193
19148BY0186,2V,51530,0.00063880195
19148BY0225,2V,51530,0.0005100687
19148BY0316,2V,51530,0.00043370778
19148CA1698,2V,12390,0.0002815658
19148CB0858,2V,M9999,0.020858448
19148CH0080,2V,50110,0.00020153729
19148CH0333,2V,50110,0.00020153729
19148CH0341,2V,50110,0.00035438585
19148CH0561,2V,9COB0,0.00014284205
19148CH0565,2V,12390,0.00013154407
19148R10337,2V,51530,0.0013166305
19148R11307,2V,9COB0,0.001985167
19149BC3009,2V,51530,0.001029799
